asin,keyword_id_list
B08W7TCPT7,[120959423]
B08W7THXXS,[120959423]
B08W7XDRPK,[120959423]
B08W88PJT3,[120959423]
B08WPXDPSV,"[120959418, 120959223]"
B08X1HQ8MF,"[120959222, 120959223]"
B08X1L2CDK,"[120959425, 121095973]"
B08X1LD93B,"[121095972, 121095973]"
B08X1M9CT8,"[121095972, 121095973]"
B08X1P1MZS,"[121095972, 121095973]"
B08Y8FW72N,[120959418]
B08YR6SSCF,[120959222]
B08YRW7YK9,"[120959418, 120959222]"
B08Z7MVCJQ,[120959423]
B08ZJCKYJR,[120959223]
B091BWPTYL,"[120959424, 120959537, 120959420, 120959421]"
B091KJK3G2,"[120959424, 121095972]"
B091VQS214,[120959537]
B091Y1NXH9,[120959423]
B092R6K663,[120959047]
B0937HFSBT,[120959047]
B093LHM2HC,[120959424]
B093R3T7JH,[120959419]
B093TM8VQ8,[120959047]
B093TPW2HH,[120959537]
B093Z452T8,[120959047]
B0957XZ9MC,[120959423]
B095J1B6NL,[120959420]
B095QR8ZGJ,[120959537]
B095QX1FSR,[120959420]
B0966TT9D7,[120959047]
B096HBT21R,[120959425]
B096T5XNMD,[120959047]
B096VPMJ6X,[121095980]
B096XK4NTB,"[120959418, 120959421, 120959423]"
B096ZBYQBX,[120959047]
B097C88HS5,[120959424]
B097D55C3J,[120959565]
B097D5YP3B,[120959565]
B097NJTJVX,[120959419]
B097NM5BN7,[120959419]
B097NP8DSG,"[120959419, 120959565]"
B097R6G4CG,"[120959418, 120959222]"
B097RYG3SM,"[120959425, 121095973]"
B097RZMX9W,[121095972]
B097V3T251,[120959565]
B0987CZ2RC,[120959047]
B098B2G727,[120959565]
B098ML3P31,[120959565]
B098NL8ZHD,[120959537]
B098PM3YTG,[120959565]
B098T3J92T,[120959419]
B099LKGTP4,[120959424]
B099MJ4TSG,[120959223]
B099MSN9HT,[120959047]
B09C57F3GV,[120959565]
B09C5JRYZF,[120959418]
B09CKVDWVG,[120959424]
B09CYP72W8,[120959425]
B09DCT9GJ8,[120959047]
B09DG7W7V6,[120959537]
B09DK6WXCC,[120959419]
B09DKQVH3Q,[120959565]
B09DLJ37TW,"[120959424, 120959047, 120959537, 120959420, 120959422]"
B09FYGC69M,[120959423]
B09FYZ1FKD,[120959424]
B09GHRL21B,[120959418]
B09GLP62SS,"[120959424, 120959537, 120959420, 120959421, 120959422]"
B09GXT1ZLP,[120959537]
B09J1895C2,"[120959419, 120959565]"
B09JB4D989,[120959537]
B09JGSX9SC,"[120959418, 120959222, 120959223]"
B09KHM4PCJ,[120959423]
B09KR87MQT,"[120959421, 120959422]"
B09L1HFGJC,[120959419]
B09LHKDX3C,[120959047]
B09LVFVJMJ,[120959423]
B09LXQTMHJ,"[120959424, 120959422, 120959047]"
B09N7S3BCX,[120959423]
B09NVXL85F,"[120959424, 120959420]"
B09NZNBR8P,"[120959424, 120959537, 120959421, 120959422]"
B09P1VX16G,[120959047]
B09PX6LMZV,"[120959419, 120959565]"
B09PYJF7PW,[120959425]
B09Q4893L4,[120959419]
B09Q4FYXY1,"[120959419, 120959565]"
B09Q4J7585,"[120959419, 120959565]"
B09Q879KCW,[120959047]
B09Q8X7HR6,[120959537]
B09QGRBT9Z,[120959047]
B09QJDHDHV,[120959223]
B09QKW7BPP,"[120959418, 120959222, 120959223]"
B09S3JQPC3,[120959047]
B09SBP9JK3,[120959565]
B09SGNPR7C,[120959423]
B09TNQ74X4,"[120959537, 120959421]"
B09TVFV7TT,[120959047]
B09TVGTQDV,[120959047]
B09TVGZD26,[120959047]
B09TVNCMSG,[120959420]
B09V3H9F36,[121095980]
B09V3HL9CP,"[120959425, 121095980]"
B09VKWL8RZ,[120959418]
B09WF8WKDY,[120959425]
B09WRW5YFM,[120959565]
B09Y5PMJNY,[120959565]
B09YJ5H6BQ,"[120959425, 121095972, 121095973, 120959421, 120959422]"
B09YS7WCM7,[120959537]
B09YSLMPWG,[120959537]
B09YT4X6NG,[120959537]
B09Z13N3ZD,"[120959419, 120959565]"
B09Z1F8G52,"[120959419, 120959565]"
B09ZF8DQKJ,"[120959418, 120959222, 120959223]"
B0B16MWS4V,"[120959420, 120959421]"
B0B1D5VZDD,"[120959537, 120959420]"
B0B1D7R4SN,[120959222]
B0B1D8Y8DD,"[120959222, 120959223]"
B0B1J159TR,[120959222]
B0B1KNL3YY,[120959047]
B0B1L3FW7T,[120959419]
B0B1L6KGT1,[120959565]
B0B1LDG72K,"[120959418, 120959222, 120959223]"
B0B1LFH7TJ,[120959047]
B0B1LFXC9W,"[120959418, 120959223, 120959222, 120959047]"
B0B1LHJ8LV,"[120959418, 120959222, 120959223]"
B0B21348JT,[120959424]
B0B2BQSVPX,[120959419]
B0B2DMRQ7P,[120959565]
B0B2LV42PB,"[120959424, 120959537, 120959421, 120959422]"
B0B3GP5XYM,[120959565]
B0B3RC2TW7,"[120959222, 120959223]"
B0B446PYRW,[120959047]
B0B4FKHW9Z,[120959424]
B0B4NQ9FWY,[120959418]
B0B4S4TL5P,[120959047]
B0B56TMZ8X,"[120959419, 120959565]"
B0B5FT1QN6,[120959222]
B0B5FZZS4X,[120959223]
B0B5G2X6F1,[120959223]
B0B5K6MJX7,[120959222]
B0B5KYMD85,[120959222]
B0B5LB63Z2,[120959223]
B0B5LXJTT4,[120959223]
B0B5MS5QS9,"[120959222, 120959223]"
B0B5N3FK5H,"[120959222, 120959223]"
B0B5N427NV,[120959223]
B0B5NBT33S,[120959047]
B0B5NPXZX6,[120959222]
B0B61W1NPM,[120959425]
B0B61XGXYR,[120959425]
B0B6BSFYZK,[120959047]
B0B6D1MJ1S,[120959047]
B0B6RXHQB5,"[120959222, 120959223]"
B0B6WPKGZ5,"[120959419, 120959565]"
B0B6ZNLKMK,[120959047]
B0B6ZNXVRK,[120959047]
B0B6ZP6XYZ,[120959047]
B0B75G15RR,[120959223]
B0B75T95SM,"[120959418, 120959222]"
B0B7JGFBX5,[120959537]
B0B8892C95,"[120959424, 120959420, 120959423]"
B0B8D2LZZ1,[120959047]
B0B8DQLD75,"[120959419, 120959565]"
B0B913RYCH,[120959222]
B0B9DLL9X9,"[120959424, 121095972, 121095973, 120959047, 120959537, 120959420, 120959421, 120959422]"
B0B9WXKCF2,[120959421]
B0BBTCMLQC,[120959418]
B0BBTK631C,[120959418]
B0BBTPM25V,[120959047]
B0BDDMSVQ1,"[121095972, 120959047, 120959537, 120959420, 120959421, 120959422]"
B0BDT2XVRC,[120959047]
B0BFJMH485,[120959222]
B0BFJQ39FK,"[120959418, 120959222, 120959223]"
B0BG3W2CXC,[120959423]
B0BG6MWXF5,[120959418]
B0BGJJCS5P,"[120959420, 120959421]"
B0BGKW64XQ,[120959424]
B0BHXPF65Z,"[120959419, 120959565]"
B0BHYMLGCH,[120959565]
B0BJD98C17,"[120959425, 121095980]"
B0BJMCQXDY,"[120959424, 120959421, 120959422, 120959047]"
B0BJNVPVLK,[120959422]
B0BK4QVDVF,[120959047]
B0BK877N8M,[120959418]
B0BKKK27G5,[120959423]
B0BKLV4J92,[120959047]
B0BKPTT136,"[120959424, 120959537, 120959420, 120959421, 120959422]"
B0BKRWB3XW,"[120959418, 120959222, 120959223]"
B0BKSTVJ7N,[120959423]
B0BKY35RHT,"[120959424, 120959420, 120959422]"
B0BLCP5838,"[120959418, 120959222]"
B0BLD7FSHX,"[120959418, 120959223]"
B0BLHYR9VM,"[120959419, 120959565]"
B0BLJ7DKKX,[120959565]
B0BLJBYS8P,[120959423]
B0BLVJDPL5,[120959425]
B0BM51YRBG,"[120959419, 120959565]"
B0BMJR3ZV8,"[120959424, 120959420]"
B0BN4L2YNY,"[120959222, 120959223]"
B0BNLYHQNJ,[121095980]
B0BNNDT13J,[120959425]
B0BNNFXH8F,[120959425]
B0BNNGCKF1,[120959425]
B0BP7QZMV3,[120959047]
B0BP7STGFQ,[120959047]
B0BP8B8PPN,"[120959419, 120959565]"
B0BPHT32BY,[121095980]
B0BPJJWCRB,[120959423]
B0BPJK2LQZ,[120959423]
B0BPK173WL,[120959423]
B0BPMVDR44,[121095972]
B0BPWLLTWK,"[120959419, 120959565]"
B0BRB1X213,[120959047]
B0BRHTW2W5,"[120959537, 120959421, 120959422]"
B0BRJRHPG4,"[120959418, 120959222, 120959223]"
B0BRKPVZB4,[121095980]
B0BRTNJ6M4,[120959424]
B0BRW5LZ66,[120959418]
B0BRX9Z9M7,"[120959419, 120959565]"
B0BS75X18Y,[120959223]
B0BT55G6DB,[120959047]
B0BTDVZVJN,"[121095972, 121095973]"
B0BTFMGY2L,[120959537]
