keyword,isActive,channel,createdAt,updatedAt
k cup coffee maker,true,amazon,2025-04-10T15:17:27.617Z,2025-04-10T15:17:27.617Z
blueberry coffee,true,amazon,2025-04-10T15:17:27.615Z,2025-04-10T15:17:27.615Z
coffee cups,true,amazon,2025-04-10T15:17:27.613Z,2025-04-10T15:17:27.613Z
yeti coffee cup,true,amazon,2025-04-10T15:17:27.612Z,2025-04-10T15:17:27.612Z
iced coffee cup,true,amazon,2025-04-10T15:17:27.604Z,2025-04-10T15:17:27.604Z
kcup coffee pods,true,amazon,2025-04-10T15:17:27.603Z,2025-04-10T15:17:27.603Z
iced coffee cups with lids,true,amazon,2025-04-10T15:17:27.601Z,2025-04-10T15:17:27.601Z
coffee cup,true,amazon,2025-04-10T15:17:27.599Z,2025-04-10T15:17:27.599Z
decaf flavored coffee,true,amazon,2025-04-10T15:17:27.597Z,2025-04-10T15:17:27.597Z
donut shop coffee k-cup,true,amazon,2025-04-10T15:17:27.595Z,2025-04-10T15:17:27.595Z
peppermint mocha coffee,true,amazon,2025-04-10T15:17:27.593Z,2025-04-10T15:17:27.593Z
decaf flavored coffee ground,true,amazon,2025-04-10T15:17:27.592Z,2025-04-10T15:17:27.592Z
chocolate coffee,true,amazon,2025-04-10T15:17:27.590Z,2025-04-10T15:17:27.590Z
flavored decaf coffee ground,true,amazon,2025-04-10T15:17:27.587Z,2025-04-10T15:17:27.587Z
white chocolate coffee,true,amazon,2025-04-10T15:17:27.578Z,2025-04-10T15:17:27.578Z
chocolate raspberry coffee,true,amazon,2025-04-10T15:17:27.576Z,2025-04-10T15:17:27.576Z
crazy cups coffee,true,amazon,2025-04-10T15:17:27.574Z,2025-04-10T15:17:27.574Z
decaf coffee flavored,true,amazon,2025-04-10T15:17:27.572Z,2025-04-10T15:17:27.572Z
chocolate coffee ground,true,amazon,2025-04-10T15:17:27.569Z,2025-04-10T15:17:27.569Z
eggnog coffee,true,amazon,2025-04-10T15:17:27.567Z,2025-04-10T15:17:27.567Z
disposable coffee cups with lids,true,amazon,2025-04-10T15:17:27.564Z,2025-04-10T15:17:27.564Z
smooth earl grey tea,true,amazon,2025-04-10T15:17:27.561Z,2025-04-10T15:17:27.561Z
vegan chocolate mix,true,amazon,2025-04-10T15:17:27.558Z,2025-04-10T15:17:27.558Z
hot cinnamon spice tea,true,amazon,2025-04-10T15:17:27.554Z,2025-04-10T15:17:27.554Z
herbal mango twist tea,true,amazon,2025-04-10T15:17:27.549Z,2025-04-10T15:17:27.549Z
flavored ground coffee,true,amazon,2025-04-07T15:36:51.317Z,2025-04-07T15:45:21.847Z
hot chocolate packets,true,amazon,2025-04-07T15:36:51.282Z,2025-04-07T15:36:51.282Z
ground coffee,true,amazon,2025-04-07T15:36:51.264Z,2025-04-07T15:36:51.264Z
flavored decaf coffee,true,amazon,2025-04-07T15:36:51.259Z,2025-04-10T15:17:27.581Z
nespresso pods vertuo,true,amazon,2025-04-07T15:36:51.249Z,2025-04-07T15:45:21.912Z
decaf coffee,true,amazon,2025-04-07T15:36:51.245Z,2025-04-07T15:45:21.826Z
flavored coffee ground,true,amazon,2025-04-07T15:36:51.223Z,2025-04-07T15:45:21.834Z
flavored coffee,true,amazon,2025-04-07T15:35:38.827Z,2025-04-07T15:45:21.841Z
crazy cups decaf,true,amazon,2025-03-25T14:14:23.176Z,2025-04-10T15:17:27.712Z
kcup variety pack,true,amazon,2025-03-25T14:14:23.172Z,2025-04-10T15:17:27.699Z
mushroom coffee,true,amazon,2025-03-25T14:14:23.158Z,2025-04-10T15:17:27.749Z
kcups,true,amazon,2025-03-25T14:14:23.154Z,2025-04-10T15:17:27.748Z
kcups variety pack,true,amazon,2025-03-25T14:14:23.145Z,2025-04-10T15:17:27.738Z
decaf coffee k cups,true,amazon,2025-03-25T14:14:23.135Z,2025-04-10T15:17:27.746Z
k cups,true,amazon,2025-03-25T14:14:23.124Z,2025-04-10T15:17:27.757Z
crazy cups k cups variety pack,true,amazon,2025-03-25T14:14:23.104Z,2025-04-10T15:17:27.736Z
decaf coffee pods,true,amazon,2025-03-25T14:14:23.099Z,2025-04-10T15:17:27.734Z
coffee k cups,true,amazon,2025-03-25T14:14:23.092Z,2025-04-10T15:17:27.740Z
coffee,true,amazon,2025-03-25T14:14:23.084Z,2025-04-10T15:17:27.733Z
k cups coffee variety pack,true,amazon,2025-03-25T14:14:23.078Z,2025-04-10T15:17:27.729Z
dark roast coffee k cups,true,amazon,2025-03-25T14:14:23.059Z,2025-04-10T15:17:27.722Z
keurig,true,amazon,2025-03-25T14:14:23.055Z,2025-04-10T15:17:27.720Z
crazy cups decaf flavored k cups,true,amazon,2025-03-25T14:14:23.050Z,2025-04-10T15:17:27.726Z
k cup coffee pods,true,amazon,2025-03-25T14:14:23.046Z,2025-04-10T15:17:27.718Z
decaf k cups,true,amazon,2025-03-25T14:14:23.037Z,2025-04-10T15:17:27.716Z
keurig hot chocolate pods,true,amazon,2025-03-25T14:14:23.033Z,2025-04-10T15:17:27.724Z
decaf flavored coffee k cups,true,amazon,2025-03-25T14:14:23.027Z,2025-04-10T15:17:27.710Z
hot chocolate,true,amazon,2025-03-25T14:14:23.022Z,2025-04-10T15:17:27.704Z
coffee k cups variety pack,true,amazon,2025-03-25T14:14:23.020Z,2025-04-10T15:17:27.702Z
flavored decaf coffee k cups,true,amazon,2025-03-25T14:14:23.017Z,2025-04-10T15:17:27.889Z
coffee pods dark roast,true,amazon,2025-03-25T14:14:23.005Z,2025-04-10T15:17:27.694Z
keurig coffee pods,true,amazon,2025-03-25T14:14:23.000Z,2025-04-10T15:17:27.697Z
decaf french vanilla coffee k cups,true,amazon,2025-03-25T14:14:22.986Z,2025-04-10T15:17:27.691Z
